Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Real,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Juventude,3,3,Cruzeiro,TRUE,,Bahia,1,0,Vasco,TRUE,,Juventude,1,1,Bahia,TRUE,,,,,,,,,,
Bahia,2,3,Fortaleza,TRUE,,Sport,1,3,Vitória,TRUE,,Vasco,5,1,Internacional,TRUE,,,,,,,,,,
Corinthians,3,1,São Paulo,TRUE,,Cruzeiro,3,0,Corinthians,TRUE,,Santos,3,0,Sport,TRUE,,,,,,,,,,
Ceará,1,2,Internacional,TRUE,,Mirassol,3,0,Ceará,TRUE,,Vitória,2,0,Mirassol,TRUE,,,,,,,,,,
Bragantino,4,0,Vitória,TRUE,,Internacional,1,1,Santos,TRUE,,Ceará,1,1,Cruzeiro,TRUE,,,,,,,,,,
Atlético MG,0,3,Palmeiras,TRUE,,Fortaleza,1,0,Atlético MG,TRUE,,Corinthians,2,2,Botafogo,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,2,0,Atlético MG,TRUE,,Mirassol,3,3,Flamengo,TRUE,,,,,,,,,,,,,,,,
Palmeiras,0,0,Vitória,TRUE,,Fluminense,2,0,Bahia,TRUE,,,,,,,,,,,,,,,,
Vasco,0,2,Mirassol,TRUE,,Botafogo,4,2,Fortaleza,TRUE,,,,,,,,,,,,,,,,
Grêmio,1,2,Fluminense,TRUE,,Corinthians,1,1,Juventude,TRUE,,,,,,,,,,,,,,,,
Fortaleza,2,1,Corinthians,TRUE,,Santos,3,0,Cruzeiro,TRUE,,,,,,,,,,,,,,,,
Juventude,0,3,Santos,TRUE,,Atlético MG,5,0,Vasco,TRUE,,,,,,,,,,,,,,,,
São Paulo,3,0,Internacional,TRUE,,Internacional,3,1,Bragantino,TRUE,,,,,,,,,,,,,,,,
Bahia,2,0,Sport,TRUE,,Vitória,1,0,São Paulo,TRUE,,,,,,,,,,,,,,,,
Flamengo,1,0,Ceará,TRUE,,Ceará,1,3,Palmeiras,TRUE,,,,,,,,,,,,,,,,
Cruzeiro,2,2,Botafogo,TRUE,,Sport,0,4,Grêmio,TRUE,,,,,,,,,,,,,,,,
