Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Roger,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Vitória,1,1,Bahia,0,,Santos,2,0,Vitória,0,,Palmeiras,3,2,Cruzeiro,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,2,0,Fortaleza,0,,Bragantino,1,2,Corinthians,0,,Sport,0,2,Atlético MG,4,,,,,,,,,,
Cruzeiro,3,0,Vitória,3,,Vitória,1,0,Internacional,4,,Vasco,2,0,Juventude,0,,,,,,,,,,
Mirassol,1,0,Botafogo,0,,Sport,1,2,Juventude,3,,Internacional,1,1,Bahia,0,,,,,,,,,,
Flamengo,2,0,Sport,3,,Botafogo,1,1,Vasco,0,,São Paulo,1,0,Bragantino,0,,,,,,,,,,
Corinthians,1,0,Grêmio,3,,Atlético MG,1,0,Bahia,3,,Corinthians,1,0,Ceará,0,,,,,,,,,,
Bahia,1,0,Bragantino,4,,Grêmio,0,1,Cruzeiro,5,,Cruzeiro,1,2,Fluminense,0,,,,,,,,,,
Ceará,1,2,Fluminense,0,,São Paulo,1,3,Flamengo,0,,Vitória,1,2,Botafogo,0,,,,,,,,,,
Internacional,1,0,Atlético MG,0,,Fluminense,2,0,Mirassol,3,,Flamengo,2,0,Santos,3,,,,,,,,,,
Juventude,1,3,Palmeiras,4,,Ceará,1,0,Fortaleza,0,,Mirassol,0,1,Palmeiras,0,,,,,,,,,,
Vasco,2,0,São Paulo,0,,Palmeiras,2,0,Santos,5,,Fortaleza,1,1,Grêmio,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,1,0,Sport,4,,Botafogo,1,0,Grêmio,4,,Atlético MG,1,2,Flamengo,0,,,,,,,,,,
Fluminense,3,2,Flamengo,4,,Flamengo,2,0,Bragantino,3,,Grêmio,1,3,Palmeiras,0,,,,,,,,,,
Grêmio,2,0,Vasco,5,,Palmeiras,2,1,Fluminense,0,,Bragantino,1,0,Fortaleza,0,,,,,,,,,,
Santos,1,3,Mirassol,0,,São Paulo,1,0,Juventude,4,,Fluminense,2,0,São Paulo,3,,,,,,,,,,
Juventude,1,1,Cruzeiro,3,,Bahia,2,1,Vasco,4,,Juventude,1,2,Bahia,0,,,,,,,,,,
Bahia,2,1,Fortaleza,0,,Sport,0,1,Vitória,3,,Vasco,0,1,Internacional,0,,,,,,,,,,
Corinthians,1,2,São Paulo,0,,Cruzeiro,1,0,Corinthians,3,,Santos,2,0,Sport,3,,,,,,,,,,
Ceará,2,1,Internacional,0,,Mirassol,2,0,Ceará,3,,Vitória,0,1,Mirassol,0,,,,,,,,,,
Bragantino,1,0,Vitória,3,,Internacional,1,1,Santos,5,,Ceará,1,2,Cruzeiro,0,,,,,,,,,,
Atlético MG,1,1,Palmeiras,0,,Fortaleza,1,0,Atlético MG,5,,Corinthians,2,1,Botafogo,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
