Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Paulo,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Juventude,2,0,Cruzeiro,0,,Bahia,2,0,Vasco,3,,Juventude,2,0,Bahia,0,,,,,,,,,,
Bahia,1,0,Fortaleza,0,,Sport,2,3,Vitória,3,,Vasco,1,1,Internacional,0,,,,,,,,,,
Corinthians,1,2,São Paulo,0,,Cruzeiro,1,1,Corinthians,0,,Santos,4,0,Sport,3,,,,,,,,,,
Ceará,0,2,Internacional,3,,Mirassol,1,1,Ceará,0,,Vitória,2,1,Mirassol,3,,,,,,,,,,
Bragantino,1,1,Vitória,0,,Internacional,2,1,Santos,0,,Ceará,2,0,Cruzeiro,0,,,,,,,,,,
Atlético MG,1,1,Palmeiras,0,,Fortaleza,3,1,Atlético MG,3,,Corinthians,3,1,Botafogo,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,1,1,Atlético MG,0,,Mirassol,0,1,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,1,1,Vitória,3,,Fluminense,1,1,Bahia,0,,,,,,,,,,,,,,,,
Vasco,1,0,Mirassol,0,,Botafogo,2,0,Fortaleza,4,,,,,,,,,,,,,,,,
Grêmio,2,1,Fluminense,0,,Corinthians,3,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,3,1,Corinthians,3,,Santos,1,1,Cruzeiro,0,,,,,,,,,,,,,,,,
Juventude,0,2,Santos,3,,Atlético MG,2,0,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,1,1,Internacional,0,,Internacional,2,0,Bragantino,4,,,,,,,,,,,,,,,,
Bahia,4,1,Sport,3,,Vitória,1,1,São Paulo,0,,,,,,,,,,,,,,,,
Flamengo,2,1,Ceará,4,,Ceará,2,0,Palmeiras,0,,,,,,,,,,,,,,,,
Cruzeiro,2,2,Botafogo,5,,Sport,0,0,Grêmio,0,,,,,,,,,,,,,,,,
