Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Willian,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Palmeiras,3,0,Bragantino,3,,Corinthians,2,0,Atlético MG,3,,Atlético MG,1,0,Ceará,5,,,,,,,,,,
Botafogo,1,1,Flamengo,0,,Cruzeiro,3,0,Fortaleza,3,,Vitória,2,1,Corinthians,0,,,,,,,,,,
Mirassol,3,1,Internacional,5,,Flamengo,1,1,Palmeiras,0,,Fluminense,2,0,Internacional,3,,,,,,,,,,
Sport,0,0,Ceará,3,,Mirassol,2,0,São Paulo,3,,Sport,0,1,Mirassol,4,,,,,,,,,,
Santos,1,0,Corinthians,3,,Internacional,1,1,Sport,0,,Fortaleza,0,2,Flamengo,0,,,,,,,,,,
Atlético MG,0,2,Cruzeiro,0,,Ceará,2,0,Botafogo,0,,São Paulo,2,2,Bahia,0,,,,,,,,,,
Fortaleza,2,1,Vasco,0,,Bahia,1,0,Grêmio,3,,Botafogo,1,0,Santos,0,,,,,,,,,,
Grêmio,2,2,São Paulo,0,,Juventude,2,1,Bragantino,5,,Grêmio,3,1,Juventude,5,,,,,,,,,,
Fluminense,4,0,Juventude,3,,Vasco,0,2,Fluminense,0,,Bragantino,1,2,Vasco,3,,,,,,,,,,
Vitória,2,2,Bahia,0,,Santos,0,1,Vitória,5,,Palmeiras,3,2,Cruzeiro,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,0,1,Fortaleza,0,,Bragantino,0,0,Corinthians,0,,Sport,0,3,Atlético MG,3,,,,,,,,,,
Cruzeiro,2,0,Vitória,4,,Vitória,2,1,Internacional,4,,Vasco,4,1,Juventude,0,,,,,,,,,,
Mirassol,2,1,Botafogo,0,,Sport,1,0,Juventude,0,,Internacional,1,1,Bahia,3,,,,,,,,,,
Flamengo,4,0,Sport,3,,Botafogo,1,1,Vasco,0,,São Paulo,2,2,Bragantino,0,,,,,,,,,,
Corinthians,0,0,Grêmio,0,,Atlético MG,0,1,Bahia,0,,Corinthians,2,0,Ceará,0,,,,,,,,,,
Bahia,2,0,Bragantino,3,,Grêmio,1,1,Cruzeiro,0,,Cruzeiro,2,0,Fluminense,0,,,,,,,,,,
Ceará,0,1,Fluminense,0,,São Paulo,0,2,Flamengo,0,,Vitória,1,1,Botafogo,3,,,,,,,,,,
Internacional,2,1,Atlético MG,0,,Fluminense,2,1,Mirassol,4,,Flamengo,2,0,Santos,3,,,,,,,,,,
Juventude,0,3,Palmeiras,3,,Ceará,1,2,Fortaleza,0,,Mirassol,3,3,Palmeiras,0,,,,,,,,,,
Vasco,2,0,São Paulo,0,,Palmeiras,3,0,Santos,3,,Fortaleza,2,1,Grêmio,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,3,0,Sport,3,,Botafogo,2,0,Grêmio,3,,Atlético MG,1,2,Flamengo,0,,,,,,,,,,
Fluminense,1,0,Flamengo,4,,Flamengo,1,0,Bragantino,3,,Grêmio,1,1,Palmeiras,0,,,,,,,,,,
Grêmio,2,0,Vasco,5,,Palmeiras,2,0,Fluminense,0,,Bragantino,0,1,Fortaleza,5,,,,,,,,,,
Santos,1,1,Mirassol,5,,São Paulo,1,1,Juventude,0,,Fluminense,3,0,São Paulo,3,,,,,,,,,,
Juventude,1,2,Cruzeiro,0,,Bahia,3,0,Vasco,3,,Juventude,2,2,Bahia,3,,,,,,,,,,
Bahia,1,0,Fortaleza,0,,Sport,2,3,Vitória,3,,Vasco,1,2,Internacional,0,,,,,,,,,,
Corinthians,2,0,São Paulo,4,,Cruzeiro,1,0,Corinthians,3,,Santos,3,1,Sport,3,,,,,,,,,,
Ceará,1,0,Internacional,0,,Mirassol,4,0,Ceará,3,,Vitória,1,1,Mirassol,0,,,,,,,,,,
Bragantino,1,1,Vitória,0,,Internacional,1,2,Santos,0,,Ceará,1,1,Cruzeiro,5,,,,,,,,,,
Atlético MG,0,0,Palmeiras,0,,Fortaleza,2,1,Atlético MG,4,,Corinthians,0,0,Botafogo,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,1,1,Atlético MG,0,,Mirassol,3,0,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,3,1,Vitória,0,,Fluminense,2,0,Bahia,5,,,,,,,,,,,,,,,,
Vasco,1,2,Mirassol,3,,Botafogo,2,2,Fortaleza,0,,,,,,,,,,,,,,,,
Grêmio,0,1,Fluminense,4,,Corinthians,1,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,2,0,Corinthians,3,,Santos,2,0,Cruzeiro,3,,,,,,,,,,,,,,,,
Juventude,1,2,Santos,3,,Atlético MG,3,0,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,1,1,Internacional,0,,Internacional,2,1,Bragantino,3,,,,,,,,,,,,,,,,
Bahia,3,0,Sport,3,,Vitória,3,2,São Paulo,4,,,,,,,,,,,,,,,,
Flamengo,1,0,Ceará,5,,Ceará,2,1,Palmeiras,0,,,,,,,,,,,,,,,,
Cruzeiro,2,0,Botafogo,0,,Sport,0,2,Grêmio,3,,,,,,,,,,,,,,,,
