Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Kelder,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Sport,1,0,Ceará,0,,Mirassol,2,1,São Paulo,3,,Sport,0,2,Mirassol,3,,,,,,,,,,
Santos,0,0,Corinthians,0,,Internacional,1,0,Sport,3,,Fortaleza,1,2,Flamengo,0,,,,,,,,,,
Atlético MG,1,1,Cruzeiro,5,,Ceará,2,2,Botafogo,0,,São Paulo,2,2,Bahia,0,,,,,,,,,,
Fortaleza,0,1,Vasco,3,,Bahia,2,1,Grêmio,3,,Botafogo,2,0,Santos,0,,,,,,,,,,
Grêmio,1,2,São Paulo,0,,Juventude,0,1,Bragantino,0,,Grêmio,3,1,Juventude,5,,,,,,,,,,
Fluminense,3,1,Juventude,3,,Vasco,2,1,Fluminense,3,,Bragantino,1,2,Vasco,3,,,,,,,,,,
Vitória,1,3,Bahia,0,,Santos,3,0,Vitória,0,,Palmeiras,2,1,Cruzeiro,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,1,0,Fortaleza,0,,Bragantino,2,1,Corinthians,5,,Sport,1,2,Atlético MG,3,,,,,,,,,,
Cruzeiro,2,1,Vitória,3,,Vitória,0,0,Internacional,0,,Vasco,2,0,Juventude,0,,,,,,,,,,
Mirassol,3,2,Botafogo,0,,Sport,1,0,Juventude,0,,Internacional,1,2,Bahia,0,,,,,,,,,,
Flamengo,3,1,Sport,3,,Botafogo,1,0,Vasco,3,,São Paulo,2,0,Bragantino,0,,,,,,,,,,
Corinthians,0,0,Grêmio,0,,Atlético MG,1,0,Bahia,3,,Corinthians,1,1,Ceará,0,,,,,,,,,,
Bahia,1,0,Bragantino,3,,Grêmio,1,2,Cruzeiro,4,,Cruzeiro,2,1,Fluminense,0,,,,,,,,,,
Ceará,2,2,Fluminense,0,,São Paulo,1,2,Flamengo,0,,Vitória,0,3,Botafogo,0,,,,,,,,,,
Internacional,1,0,Atlético MG,0,,Fluminense,1,1,Mirassol,0,,Flamengo,2,0,Santos,3,,,,,,,,,,
Juventude,0,2,Palmeiras,5,,Ceará,2,2,Fortaleza,3,,Mirassol,2,3,Palmeiras,0,,,,,,,,,,
Vasco,2,1,São Paulo,0,,Palmeiras,2,1,Santos,3,,Fortaleza,2,0,Grêmio,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,2,0,Sport,3,,Botafogo,1,1,Grêmio,0,,Atlético MG,1,5,Flamengo,0,,,,,,,,,,
Fluminense,1,2,Flamengo,0,,Flamengo,2,1,Bragantino,3,,Grêmio,2,0,Palmeiras,3,,,,,,,,,,
Grêmio,1,0,Vasco,3,,Palmeiras,2,0,Fluminense,0,,Bragantino,1,1,Fortaleza,0,,,,,,,,,,
Santos,0,2,Mirassol,0,,São Paulo,1,0,Juventude,4,,Fluminense,2,0,São Paulo,3,,,,,,,,,,
Juventude,1,2,Cruzeiro,0,,Bahia,1,1,Vasco,0,,Juventude,0,2,Bahia,0,,,,,,,,,,
Bahia,1,1,Fortaleza,0,,Sport,1,0,Vitória,0,,Vasco,1,3,Internacional,0,,,,,,,,,,
Corinthians,0,1,São Paulo,0,,Cruzeiro,1,0,Corinthians,3,,Santos,4,2,Sport,3,,,,,,,,,,
Ceará,1,2,Internacional,5,,Mirassol,2,0,Ceará,3,,Vitória,2,0,Mirassol,5,,,,,,,,,,
