Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Gabriel,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Atlético MG,1,1,Mirassol,0,,Sport,1,2,Fluminense,0,,Corinthians,1,0,Mirassol,3,,,,,,,,,,
Grêmio,2,0,Vitória,4,,Internacional,1,1,Corinthians,5,,Vasco,2,0,Vitória,3,,,,,,,,,,
Fluminense,1,1,Botafogo,0,,Botafogo,1,1,Bahia,0,,São Paulo,1,1,Palmeiras,0,,,,,,,,,,
Bahia,2,1,Palmeiras,4,,Santos,2,1,Grêmio,0,,Bahia,0,3,Flamengo,0,,,,,,,,,,
Bragantino,2,1,Santos,0,,Vitória,2,2,Ceará,0,,Juventude,2,1,Fortaleza,0,,,,,,,,,,
Corinthians,0,2,Flamengo,3,,Fortaleza,2,0,São Paulo,0,,Cruzeiro,4,0,Sport,0,,,,,,,,,,
São Paulo,1,0,Ceará,0,,Flamengo,3,0,Cruzeiro,0,,Ceará,2,2,Santos,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,1,1,Bragantino,0,,Corinthians,2,0,Atlético MG,3,,Atlético MG,2,0,Ceará,3,,,,,,,,,,
Botafogo,0,1,Flamengo,3,,Cruzeiro,4,0,Fortaleza,3,,Vitória,1,1,Corinthians,0,,,,,,,,,,
Mirassol,2,0,Internacional,4,,Flamengo,3,0,Palmeiras,3,,Fluminense,1,1,Internacional,0,,,,,,,,,,
Sport,1,1,Ceará,5,,Mirassol,2,1,São Paulo,3,,Sport,1,2,Mirassol,5,,,,,,,,,,
Santos,1,0,Corinthians,3,,Internacional,2,1,Sport,3,,Fortaleza,0,3,Flamengo,0,,,,,,,,,,
Atlético MG,1,1,Cruzeiro,5,,Ceará,2,1,Botafogo,0,,São Paulo,1,0,Bahia,3,,,,,,,,,,
Fortaleza,1,1,Vasco,0,,Bahia,1,1,Grêmio,0,,Botafogo,2,1,Santos,0,,,,,,,,,,
Grêmio,1,0,São Paulo,3,,Juventude,2,2,Bragantino,0,,Grêmio,2,1,Juventude,3,,,,,,,,,,
Fluminense,2,0,Juventude,3,,Vasco,1,1,Fluminense,0,,Bragantino,2,2,Vasco,0,,,,,,,,,,
Vitória,1,2,Bahia,0,,Santos,1,0,Vitória,0,,Palmeiras,0,2,Cruzeiro,0,,,,,,,,,,
