Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Jonatha,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Juventude,0,3,Palmeiras,3,,Ceará,1,0,Fortaleza,0,,Mirassol,1,2,Palmeiras,0,,,,,,,,,,
Vasco,2,1,São Paulo,0,,Palmeiras,4,1,Santos,3,,Fortaleza,2,1,Grêmio,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,3,0,Sport,3,,Botafogo,2,1,Grêmio,4,,Atlético MG,0,2,Flamengo,0,,,,,,,,,,
Fluminense,1,2,Flamengo,0,,Flamengo,3,1,Bragantino,3,,Grêmio,1,1,Palmeiras,0,,,,,,,,,,
Grêmio,1,2,Vasco,0,,Palmeiras,2,1,Fluminense,0,,Bragantino,1,1,Fortaleza,0,,,,,,,,,,
Santos,1,1,Mirassol,5,,São Paulo,1,0,Juventude,4,,Fluminense,2,1,São Paulo,3,,,,,,,,,,
Juventude,1,1,Cruzeiro,3,,Bahia,1,1,Vasco,0,,Juventude,0,1,Bahia,0,,,,,,,,,,
Bahia,1,1,Fortaleza,0,,Sport,1,2,Vitória,3,,Vasco,1,1,Internacional,0,,,,,,,,,,
Corinthians,2,0,São Paulo,4,,Cruzeiro,2,2,Corinthians,0,,Santos,2,1,Sport,3,,,,,,,,,,
Ceará,2,1,Internacional,0,,Mirassol,2,1,Ceará,3,,Vitória,1,1,Mirassol,0,,,,,,,,,,
Bragantino,0,1,Vitória,0,,Internacional,2,1,Santos,0,,Ceará,1,2,Cruzeiro,0,,,,,,,,,,
Atlético MG,2,2,Palmeiras,0,,Fortaleza,1,0,Atlético MG,5,,Corinthians,2,2,Botafogo,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,1,1,Atlético MG,0,,Mirassol,3,1,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,4,1,Vitória,0,,Fluminense,1,0,Bahia,3,,,,,,,,,,,,,,,,
Vasco,1,2,Mirassol,3,,Botafogo,1,1,Fortaleza,0,,,,,,,,,,,,,,,,
Grêmio,1,1,Fluminense,0,,Corinthians,2,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,2,1,Corinthians,5,,Santos,1,2,Cruzeiro,0,,,,,,,,,,,,,,,,
Juventude,0,1,Santos,3,,Atlético MG,1,1,Vasco,0,,,,,,,,,,,,,,,,
São Paulo,1,2,Internacional,0,,Internacional,2,1,Bragantino,3,,,,,,,,,,,,,,,,
Bahia,3,0,Sport,3,,Vitória,1,0,São Paulo,5,,,,,,,,,,,,,,,,
Flamengo,4,1,Ceará,3,,Ceará,2,2,Palmeiras,0,,,,,,,,,,,,,,,,
Cruzeiro,1,1,Botafogo,0,,Sport,0,0,Grêmio,0,,,,,,,,,,,,,,,,
