rodada,time_casa,time_fora,gols_casa,gols_fora
35,Cruzeiro,Corinthians,1,0
35,Flamengo,Bragantino,1,0
35,Fortaleza,Atlético MG,2,1
35,Internacional,Santos,1,2
35,Mirassol,Ceará,4,0
35,Palmeiras,Fluminense,2,0
35,Sport,Vitória,2,3
35,São Paulo,Juventude,1,1
36,Atlético MG,Flamengo,1,2
36,Bragantino,Fortaleza,0,1
36,Ceará,Cruzeiro,1,1
36,Corinthians,Botafogo,0,0
36,Fluminense,São Paulo,3,0
36,Grêmio,Palmeiras,1,1
36,Juventude,Bahia,2,2
36,Santos,Sport,3,1
36,Vasco,Internacional,1,2
36,Vitória,Mirassol,1,1
37,Bahia,Sport,3,0
37,Bragantino,Atlético MG,1,1
37,Cruzeiro,Botafogo,2,0
37,Flamengo,Ceará,1,0
37,Fortaleza,Corinthians,2,0
37,Grêmio,Fluminense,0,1
37,Juventude,Santos,1,2
37,Palmeiras,Vitória,3,1
37,São Paulo,Internacional,1,1
37,Vasco,Mirassol,1,2
38,Atlético MG,Vasco,3,0
38,Botafogo,Fortaleza,2,2
38,Ceará,Palmeiras,2,1
38,Corinthians,Juventude,1,0
38,Fluminense,Bahia,2,0
38,Internacional,Bragantino,2,1
38,Mirassol,Flamengo,3,0
38,Santos,Cruzeiro,2,0
38,Sport,Grêmio,0,2
38,Vitória,São Paulo,3,2
